video_url,video_type,topic,emotion,hook_type,format,exceed_at,engagement_rate,duration,shares,comments,likes,views_per_sub
https://www.tiktok.com/@luuluongchiasenews/video/7604459110041423118,explanation,Tiềm năng khí tài quân đội Việt Nam tại lễ diễu binh A80,curiosity,shocking fact,talking head,engagement_rate,6.880447,177,25600,6181,291600,819.243507
https://www.tiktok.com/@stevent107/video/7585032490063219989,explanation,Đảo chính tại Nepal Bangladesh Indonesia Ukraine đều có bắt nguồn và lấy nguồn lực chính từ học sinh sinh viên. Để hợp thức hoá quá trình đảo chính Bravo 1 và Bravo 2 như thượng tướng Nguyễn Chí Vịnh đã nói ,curiosity,shocking fact,infographic,engagement_rate,6.763857,216,28000,4782,251300,732.089942
https://www.tiktok.com/@bankerthichcode/video/7540257753546099976,explanation,Hữu nghị Việt Nam Cuba 65 năm kỉ niệm. ,patriotism,statement,talking head,engagement_rate,6.710877,153,152,241,11700,31.410145
https://www.tiktok.com/@bankerthichcode/video/7579566643823512839,news reaction,Chagee và theanh28 htv9 Võ Huỳnh Tấn Tài. HOÀNG SA TRƯỜNG SA LÀ CỦA VIỆT NAM! ,outrage,contradiction,talking head,engagement_rate,6.689636,143,3280,1406,68900,191.737842
https://www.tiktok.com/@bankerthichcode/video/7580324279099608338,news reaction,Diễn biến hoà bình trong giáo dục ,outrage,shocking fact,talking head,engagement_rate,6.677767,135,981,474,19600,54.959038
https://www.tiktok.com/@bankerthichcode/video/7529103922816879880,story,"Mậu Thân 1968, trận Thành cổ Quảng Trị năm 1972 về bối cảnh, thành tựu và mục đích đạt được. Kiến thức lịch sử để chuẩn bị chào đón 80 năm cách mạng tháng 8 19/8/1945 thành công và chủ tịch Hồ Chí Minh đọc bản tuyên ngôn độc lập khai sinh nước Việt Nam Dân chủ Cộng hoà ngày 2/9/1945 ",patriotism,statement,talking head,engagement_rate,6.648619,198,757,457,23100,63.744117
https://www.tiktok.com/@bankerthichcode/video/7580713771908205842,explanation,Phân tích Nỗi buồn chiến tranh theo văn học sách giáo khoa lớp 12 ,surprise,shocking fact,talking head,engagement_rate,6.639353,163,7211,1189,54800,165.922956
https://www.tiktok.com/@bankerthichcode/video/7558497384628571410,explanation,Việt Nam Đã Từng Đa Đảng: Khám Phá Lịch Sử,outrage,question,talking head,engagement_rate,6.615833,226,3302,1588,74500,209.168555
https://www.tiktok.com/@bankerthichcode/video/7565173148216347922,explanation,"Âm mưu diễn biến hoà bình ở 3 mặt trận tôn giáo, giáo dục, lịch sử ",curiosity,statement,talking head,engagement_rate,6.488111,222,7277,2209,107300,313.752832
https://www.tiktok.com/@bankerthichcode/video/7583723123451858183,news reaction,Tư duy lệch lạc về lịch sử,outrage,shocking fact,talking head,engagement_rate,6.342123,129,2357,1325,43700,130.224856
https://www.tiktok.com/@bankerthichcode/video/7536602540733959442,news reaction,Ngoại giao Việt Nam để trung hoà lợi ích của các ông lớn như Mỹ Nga Trung Quốc đang gia tăng tầm ảnh hưởng kinh tế và quân dự tại Đông Nam Á,curiosity,shocking fact,talking head,engagement_rate,6.325056,185,3118,833,109900,313.752832
https://www.tiktok.com/@bankerthichcode/video/7603012321505561877,explanation,Vua Gia Long: Cuộc Cướp Ngôi Lịch Sử Chủ Nghĩa,curiosity,statement,talking head,engagement_rate,6.310837,144,196,218,9311,26.860729
https://www.tiktok.com/@bankerthichcode/video/7585913305034673415,news reaction,Luật 7 điều 5 và luật trí tuệ nhân tạo ,outrage,shocking fact,talking head,engagement_rate,6.27684,97,645,325,15400,45.459299
https://www.tiktok.com/@bankerthichcode/video/7513565103762050312,news reaction,Đài truyền hình quốc gia cần chính việc trích nguồn câu nói của chủ tịch Hồ Chí Minh ,outrage,shocking fact,talking head,views_per_subs,5.013913,90,28300,0,548300,2004.531985
https://www.tiktok.com/@bankerthichcode/video/7526457483209084178,explanation,"Cấm xe máy xăng dầu tại vành đai 1 từ 1/7/2026 và đến 2030 sẽ cấm và hạn chế hoàn toàn vành đai 1,2,3 tại Hà Nội. Doanh nghiệp hưởng lợi nhất là Vingroup và Vinfast. ",outrage,statement,talking head,views_per_subs,3.473267,134,31500,10900,308400,1760.502005
